"year","di_id","pov_survey"
2006,"MA",1
2007,"MA",1
2004,"MA",1
2005,"MA",1
2009,"MA",1
2010,"MA",1
2011,"MA",1
2012,"MA",0.5
2013,"MA",0.5
2014,"MA",0.5
2015,"MA",1
2016,"MA",1
2017,"MA",1
2018,"MA",1
2008,"MA",1
2006,"MZ",1
2007,"MZ",1
2004,"MZ",1
2005,"MZ",1
2010,"MZ",1
2011,"MZ",1
2008,"MZ",1
2009,"MZ",1
2014,"MZ",0.5
2015,"MZ",0
2016,"MZ",0.5
2017,"MZ",1
2018,"MZ",1
2012,"MZ",1
2013,"MZ",1
2004,"NA",0
2005,"NA",0
2008,"NA",0
2009,"NA",0
2006,"NA",0
2007,"NA",0
2011,"NA",0.5
2012,"NA",0.5
2013,"NA",0.5
2014,"NA",0.5
2015,"NA",0
2016,"NA",0
2017,"NA",0
2018,"NA",0.5
2010,"NA",0
2005,"NE",1
2006,"NE",0.5
2007,"NE",0.5
2018,"NE",1
2010,"NE",1
2011,"NE",1
2012,"NE",1
2013,"NE",1
2014,"NE",1
2015,"NE",1
2016,"NE",1
2017,"NE",1
2004,"NE",1
2009,"NE",0.5
2008,"NE",0.5
2005,"NG",1
2006,"NG",1
2004,"NG",1
2009,"NG",1
2010,"NG",1
2011,"NG",1
2012,"NG",1
2013,"NG",1
2014,"NG",1
2015,"NG",1
2016,"NG",1
2017,"NG",1
2018,"NG",1
2007,"NG",1
2008,"NG",1
2004,"RW",1
2005,"RW",1
2008,"RW",1
2009,"RW",1
2006,"RW",1
2007,"RW",1
2012,"RW",1
2013,"RW",1
2014,"RW",1
2015,"RW",1
2016,"RW",1
2017,"RW",1
2018,"RW",1
2010,"RW",1
2011,"RW",1
2004,"ST",
2007,"ST",1
2008,"ST",1
2005,"ST",1
2006,"ST",1
2010,"ST",1
2011,"ST",1
2012,"ST",1
2013,"ST",1
2014,"ST",1
2015,"ST",0.5
2016,"ST",0.5
2017,"ST",0
2018,"ST",0.5
2009,"ST",1
2005,"SN",1
2006,"SN",0.5
2007,"SN",0.5
2009,"SN",0.5
2010,"SN",0.5
2011,"SN",0.5
2008,"SN",0.5
2013,"SN",0.5
2014,"SN",1
2015,"SN",1
2012,"SN",0.5
2004,"SN",1
2018,"SN",1
2016,"SN",1
2017,"SN",1
2018,"SC",0.5
2005,"SC",0.5
2008,"SC",1
2009,"SC",1
2010,"SC",1
2011,"SC",0.5
2012,"SC",0
2013,"SC",0
2014,"SC",0
2015,"SC",0
2016,"SC",0.5
2017,"SC",0.5
2004,"SC",
2006,"SC",0.5
2007,"SC",0.5
2004,"SL",0
2005,"SL",0
2006,"SL",0
2007,"SL",0
2008,"SL",0.5
2009,"SL",0.5
2010,"SL",0.5
2011,"SL",0.5
2012,"SL",1
2013,"SL",1
2014,"SL",1
2015,"SL",0.5
2018,"SL",0.5
2017,"SL",0.5
2016,"SL",0.5
2004,"SO",0
2005,"SO",0
2008,"SO",0
2009,"SO",0
2006,"SO",0
2007,"SO",0
2012,"SO",0
2013,"SO",0
2010,"SO",0
2011,"SO",0
2015,"SO",0
2016,"SO",0
2017,"SO",0
2018,"SO",1
2014,"SO",0
2004,"ZA",1
2005,"ZA",1
2006,"ZA",1
2007,"ZA",1
2008,"ZA",1
2009,"ZA",1
2010,"ZA",1
2011,"ZA",1
2012,"ZA",1
2013,"ZA",1
2014,"ZA",1
2015,"ZA",1
2016,"ZA",1
2017,"ZA",1
2018,"ZA",1
2005,"SS",
2006,"SS",
2004,"SS",
2009,"SS",
2010,"SS",
2007,"SS",
2008,"SS",
2013,"SS",0
2014,"SS",0
2015,"SS",0
2016,"SS",0
2017,"SS",0
2018,"SS",0
2011,"SS",
2012,"SS",
2004,"SD",0
2007,"SD",0
2008,"SD",0
2009,"SD",0
2010,"SD",0
2011,"SD",0
2012,"SD",0
2013,"SD",0
2014,"SD",0
2015,"SD",0
2016,"SD",0
2017,"SD",0.5
2005,"SD",0
2006,"SD",0
2018,"SD",0.5
2004,"TZ",0.5
2005,"TZ",0
2006,"TZ",0
2007,"TZ",0
2008,"TZ",0.5
2009,"TZ",0.5
2010,"TZ",1
2011,"TZ",1
2012,"TZ",1
2013,"TZ",1
2014,"TZ",1
2015,"TZ",1
2016,"TZ",1
2017,"TZ",1
2018,"TZ",1
2004,"TG",0
2005,"TG",0
2006,"TG",0
2007,"TG",0
2008,"TG",0
2009,"TG",0
2010,"TG",0
2011,"TG",0
2012,"TG",0.5
2013,"TG",0.5
2014,"TG",0.5
2015,"TG",0.5
2016,"TG",0.5
2017,"TG",0.5
2018,"TG",0.5
2004,"TN",0.5
2005,"TN",0.5
2006,"TN",0.5
2007,"TN",0.5
2008,"TN",0.5
2009,"TN",0.5
2010,"TN",0.5
2011,"TN",0.5
2012,"TN",0.5
2013,"TN",0.5
2014,"TN",0.5
2015,"TN",0.5
2016,"TN",0.5
2017,"TN",0
2018,"TN",0
2004,"UG",1
2005,"UG",1
2006,"UG",1
2007,"UG",1
2008,"UG",1
2009,"UG",1
2010,"UG",1
2011,"UG",1
2012,"UG",1
2013,"UG",1
2014,"UG",1
2015,"UG",1
2016,"UG",1
2017,"UG",1
2018,"UG",1
2004,"ZM",1
2005,"ZM",1
2006,"ZM",1
2007,"ZM",1
2008,"ZM",1
2009,"ZM",1
2010,"ZM",1
2011,"ZM",1
2012,"ZM",1
2013,"ZM",1
2014,"ZM",1
2015,"ZM",1
2016,"ZM",0.5
2017,"ZM",0.5
2018,"ZM",0.5
2004,"ZW",0.5
2005,"ZW",0.5
2006,"ZW",0.5
2007,"ZW",0
2008,"ZW",0
2009,"ZW",0.5
2010,"ZW",1
2011,"ZW",1
2012,"ZW",1
2013,"ZW",1
2014,"ZW",1
2015,"ZW",1
2016,"ZW",1
2017,"ZW",1
2018,"ZW",1
